,index,count,co_ord,frame_no
161,98b9612fe6c6709c,1,"[array([   1,   33,  682, 1066])]",['frame-129.jpg']
162,99d9419139cf99c9,1,"[array([ 673,  253, 1228, 1068])]",['frame-129.jpg']
163,c7c3e3e2e3703838,1,"[array([1121,  200, 1334,  550])]",['frame-129.jpg']
164,8da5a9ed82cacec2,1,"[array([467, 118, 722, 719])]",['frame-129.jpg']
165,cdcd8fc763333088,1,"[array([ 782,   91, 1250,  678])]",['frame-129.jpg']
166,c4e0394c78c773ce,1,"[array([ 956,   94, 1069,  257])]",['frame-129.jpg']
167,b4f0395e17f1e304,1,"[array([ 138,    2,  831, 1064])]",['frame-128.jpg']
168,eb9d9cc4822698bd,1,"[array([1034,   46, 1486, 1066])]",['frame-128.jpg']
169,abf0f0754e1d6c50,1,"[array([1419,  119, 1920, 1069])]",['frame-128.jpg']
170,9ada4e4e6ed58522,1,"[array([   1,   22,  450, 1065])]",['frame-128.jpg']
171,f3e124dba99592b0,1,"[array([  22,    8, 1060, 1066])]",['frame-1.jpg']
172,d32d2cf2070d2fe4,1,"[array([ 203,  147, 1048, 1054])]",['frame-16.jpg']
173,e80c9ff0c93b3c29,1,"[array([ 688,  218, 1914, 1067])]",['frame-16.jpg']
174,976c78c3a79c8a68,1,"[array([   2,  398,  466, 1066])]",['frame-16.jpg']
175,a616d3e9313fc494,1,"[array([1483,  233, 1920,  960])]",['frame-16.jpg']
176,ce85f186d21b683d,1,"[array([ 760,   44, 1042,  608])]",['frame-16.jpg']
177,c37d3fe074666062,1,"[array([1750,   19, 1918,  729])]",['frame-16.jpg']
178,d6366f29913298d9,1,"[array([1179,   45, 1914,  898])]",['frame-6.jpg']
179,9373967fc81ae40c,1,"[array([  2,  34, 685, 878])]",['frame-6.jpg']
180,b14852316ba59fcd,1,"[array([ 618,  137, 1218,  623])]",['frame-6.jpg']
181,acb59a8add558c8c,1,"[array([   2,    3,  298, 1058])]",['frame-108.jpg']
182,b7bce86b1a833039,1,"[array([527, 218, 810, 688])]",['frame-108.jpg']
183,8793c9b55666b096,1,"[array([687,   0, 930, 442])]",['frame-108.jpg']
184,c0269f7a78e9d2a4,1,"[array([  8, 265, 403, 787])]",['frame-47.jpg']
185,b7588d234736e313,1,"[array([1282,  205, 1695,  653])]",['frame-47.jpg']
186,e0a279f0e0829fde,1,"[array([ 969,  189, 1140,  396])]",['frame-47.jpg']
187,8d43f57432ce239c,1,"[array([1304,   74, 1442,  316])]",['frame-47.jpg']
188,b8dec526da01b3ca,1,"[array([1161,   38, 1250,  318])]",['frame-47.jpg']
189,8bb22e4f8df0dc60,1,"[array([1569,  206, 1692,  365])]",['frame-47.jpg']
190,a4b6546939931b79,1,"[array([ 546,   89, 1918, 1062])]",['frame-48.jpg']
191,c09112333e1efff0,1,"[array([1665,    3, 1917,  557])]",['frame-48.jpg']
192,8b6b5e1075495b96,1,"[array([1034,    8, 1917, 1064])]",['frame-5.jpg']
193,aae5a8134734d47b,1,"[array([  45,   45,  975, 1063])]",['frame-5.jpg']
194,e0ed3f37b19098a2,1,"[array([ 27, 406, 136, 522])]",['frame-5.jpg']
195,cfcab03024ceaf93,1,"[array([  0, 406, 131, 758])]",['frame-5.jpg']
196,afb04fb912d9a11c,1,"[array([ 465,    6, 1917, 1069])]",['frame-64.jpg']
197,b8fc071c7e98e4e0,1,"[array([ 261,  166,  710, 1066])]",['frame-8.jpg']
198,fdeb48d8a1e484b1,1,"[array([1215,  126, 1914, 1071])]",['frame-8.jpg']
199,f7ca8825a97a86a5,1,"[array([1292,   11, 1917, 1060])]",['frame-118.jpg']
200,c39cd41ea8cb7cb0,1,"[array([ 446,   74, 1451, 1066])]",['frame-118.jpg']
201,adcad058f5d1daa0,1,"[array([   2,    0,  934, 1058])]",['frame-118.jpg']
202,cc2cf223b5b2e3c4,1,"[array([ 206,   19, 1514, 1066])]",['frame-125.jpg']
203,e700e73dc3f08f81,1,"[array([1149,    5, 1917, 1063])]",['frame-125.jpg']
204,99e713ecd2195263,1,"[array([   2,   23,  999, 1067])]",['frame-102.jpg']
205,d43e0e81ba368d8f,1,"[array([1466,  153, 1917, 1065])]",['frame-43.jpg']
206,964b6a74349c5f52,1,"[array([ 765,  348, 1346, 1068])]",['frame-43.jpg']
207,f408f329c3791673,1,"[array([1400,    1, 1779,  647])]",['frame-43.jpg']
208,b6666a95b394a18b,1,"[array([   9,  563,  848, 1069])]",['frame-43.jpg']
209,c16e17cde836c159,1,"[array([1047,   38, 1632,  884])]",['frame-43.jpg']
210,b4feb86cc4b2e190,1,"[array([  0,  68, 786, 952])]",['frame-43.jpg']
211,acb4f273f931110e,1,"[array([ 118,   72, 1028, 1068])]",['frame-140.jpg']
212,affa51b919382ec0,1,"[array([1089,  114, 1776, 1058])]",['frame-140.jpg']
213,dac22d6f9a323515,1,"[array([  0, 662,  36, 986])]",['frame-140.jpg']
214,d925ecf90907a4f4,1,"[array([ 624,   75, 1551, 1070])]",['frame-103.jpg']
215,b2564997aeb54869,1,"[array([   0,  338,  760, 1068])]",['frame-103.jpg']
216,918be3d4d827c276,1,"[array([1240,    3, 1575,  666])]",['frame-103.jpg']
217,c6113beea36c24c7,1,"[array([1160,  152, 1917, 1065])]",['frame-103.jpg']
218,fc8e8ae035bc9607,1,"[array([  2,  17, 203, 446])]",['frame-103.jpg']
219,fc770e8f824a61c3,1,"[array([  1,  14, 203, 973])]",['frame-103.jpg']
220,f5a6065aa6961e78,1,"[array([ 645,   63, 1918, 1065])]",['frame-56.jpg']
221,efe726b4c01c90f1,1,"[array([ 237,    0, 1653, 1065])]",['frame-20.jpg']
222,a9917b1c03cf0cfc,1,"[array([ 942,   51, 1822, 1066])]",['frame-22.jpg']
223,f9f4e20b0f7e2203,1,"[array([1029,   90, 1918, 1068])]",['frame-76.jpg']
224,acb3524d56f2498d,1,"[array([   2,   47, 1064, 1067])]",['frame-76.jpg']
225,ba1f0fe0403756ec,1,"[array([   2,    4, 1308, 1072])]",['frame-119.jpg']
226,f5f10a6fb1824f88,1,"[array([   2,   20, 1394, 1066])]",['frame-49.jpg']
227,8fe37984e61198e6,1,"[array([ 166,   58, 1129, 1075])]",['frame-98.jpg']
228,f0c88ddc4e955aa5,1,"[array([1118,  118, 1920, 1068])]",['frame-98.jpg']
229,e3cf91d058b45aa5,1,"[array([ 975,   94, 1485,  970])]",['frame-98.jpg']
230,dbb0bfe0f90f00e0,1,"[array([ 666,   94, 1047,  627])]",['frame-98.jpg']
231,d426b1cc9cb3c99a,1,"[array([   2,  390,  337, 1070])]",['frame-98.jpg']
232,9f9d716742a46c68,1,"[array([1749,    2, 1917,  159])]",['frame-98.jpg']
233,9cdc949d966a6368,1,"[array([  20,  147, 1048, 1068])]",['frame-142.jpg']
234,bfc0762f181e6d30,1,"[array([1192,  104, 1722, 1066])]",['frame-142.jpg']
235,f3980fc1cb1c85cb,1,"[array([ 897,  391, 1305, 1071])]",['frame-142.jpg']
236,d59541effe080b23,1,"[array([1665,  591, 1917, 1068])]",['frame-142.jpg']
237,aad10755d1c7c83e,1,"[array([ 987,  540, 1776, 1074])]",['frame-29.jpg']
238,eae0752253e5e0e6,1,"[array([ 208,   82,  968, 1066])]",['frame-29.jpg']
239,cdf6b046783143a7,1,"[array([1324,  185, 1918,  977])]",['frame-112.jpg']
240,fcf82f1441a0fce1,1,"[array([ 648,   34, 1200, 1059])]",['frame-112.jpg']
241,bbf4f0d0d1e241a5,1,"[array([ 159,  286,  788, 1067])]",['frame-112.jpg']
242,c61e433eea51f1c1,1,"[array([ 719,   30, 1642, 1072])]",['frame-82.jpg']
243,94f1278eb8b63744,1,"[array([ 774,   48, 1468, 1068])]",['frame-13.jpg']
244,aa92ccadce4b6469,1,"[array([   2,  516,  207, 1065])]",['frame-13.jpg']
245,b767468967d34486,1,"[array([   2,  264, 1066, 1071])]",['frame-61.jpg']
246,8e8133fc3990fc5c,1,"[array([ 897,   70, 1887, 1071])]",['frame-61.jpg']
247,b52fca10c6976751,1,"[array([ 578,  134, 1328,  812])]",['frame-95.jpg']
248,c06170f8ff762781,1,"[array([1276,    2, 1917, 1059])]",['frame-11.jpg']
249,ca0762ec29e3be31,1,"[array([   0,    3, 1352, 1065])]",['frame-11.jpg']
250,f4716a87151d9e1a,1,"[array([  1, 305, 229, 692])]",['frame-11.jpg']
251,9a1a89eb5cc43cce,1,"[array([152, 284, 363, 656])]",['frame-11.jpg']
252,91006c9d2b7e9db9,1,"[array([243, 227, 531, 756])]",['frame-11.jpg']
253,d19233c10cd9e7ec,1,"[array([472, 215, 642, 712])]",['frame-11.jpg']
254,d484648f1af2cfc9,1,"[array([215, 174, 856, 862])]",['frame-11.jpg']
255,d61dedf36812c382,1,"[array([ 182,   60, 1177, 1062])]",['frame-131.jpg']
256,85489bb23770ee8b,1,"[array([   1,   55,  397, 1064])]",['frame-131.jpg']
257,807f74d0bd9c38f0,1,"[array([1629,    8, 1917,  969])]",['frame-131.jpg']
258,ad42979ada95a92a,1,"[array([ 882,    2, 1293,  666])]",['frame-131.jpg']
259,a92b5ae157a4b589,1,"[array([ 807,  229, 1912, 1070])]",['frame-131.jpg']
260,9c87d743f1a3e20a,1,"[array([ 858,  392, 1298, 1069])]",['frame-12.jpg']
261,ec31c3f2ca1ed107,1,"[array([601, 385, 812, 711])]",['frame-12.jpg']
262,93be4d41912b2eb5,1,"[array([1251,  376, 1377,  584])]",['frame-12.jpg']
263,a98dc98956cacdc3,1,"[array([   2,  477,  482, 1071])]",['frame-12.jpg']
264,afae5a21205fb0a7,1,"[array([ 748,  181, 1124,  801])]",['frame-12.jpg']
265,a1713f52aa4d5237,1,"[array([ 965,  180, 1123,  424])]",['frame-12.jpg']
