,index,count,co_ord
99,frame-52.jpg,2,"[array([1101,    2, 1917, 1064]), array([  16,   27, 1089, 1071])]"
100,frame-113.jpg,2,"[array([ 174,   22, 1653, 1065]), array([1324,    3, 1826,  742])]"
101,frame-4.jpg,3,"[array([1126,   81, 1918, 1062]), array([ 689,  498, 1268, 1068]), array([ 128,  340,  835, 1061])]"
102,frame-39.jpg,2,"[array([  74,  211,  975, 1075]), array([ 627,    0, 1212, 1050])]"
103,frame-96.jpg,6,"[array([1402,  537, 1916, 1074]), array([ 855,   81, 1314, 1070]), array([   2,  534,  688, 1074]), array([ 920,  526, 1390, 1071]), array([295, 506, 574, 907]), array([1347,  466, 1586, 1070])]"
104,frame-121.jpg,1,"[array([ 230,    2, 1594, 1066])]"
105,frame-132.jpg,3,"[array([ 834,   52, 1368, 1070]), array([ 191,  814,  634, 1074]), array([1186,  694, 1496, 1072])]"
106,frame-97.jpg,8,"[array([   2,   64,  942, 1072]), array([ 730,  128, 1398, 1062]), array([1068,  139, 1918, 1066]), array([479,  82, 845, 637]), array([1377,    2, 1920,  809]), array([1662,    2, 1920,  202]), array([1378,  337, 1550,  809]), array([  0, 420,  49, 541])]"
107,frame-23.jpg,1,"[array([ 682,   72, 1528, 1069])]"
108,frame-33.jpg,2,"[array([ 278,   60, 1062, 1068]), array([   2,    7,  434, 1058])]"
109,frame-65.jpg,3,"[array([ 526,    0, 1917, 1064]), array([  3, 122, 585, 820]), array([  0, 212, 216, 687])]"
110,frame-101.jpg,3,"[array([ 540,   45, 1818, 1067]), array([1352,    1, 1917, 1061]), array([   2,  530,  232, 1066])]"
111,frame-34.jpg,3,"[array([ 956,   87, 1672, 1066]), array([666, 449, 993, 775]), array([ 270,  886,  717, 1076])]"
112,frame-31.jpg,3,"[array([ 724,  216, 1512, 1070]), array([ 117,  105,  755, 1068]), array([1658,  268, 1918, 1072])]"
113,frame-74.jpg,1,"[array([ 688,   33, 1917, 1065])]"
114,frame-120.jpg,1,"[array([ 564,   62, 1778, 1072])]"
115,frame-59.jpg,2,"[array([ 832,   72, 1834, 1071]), array([   3,  253,  922, 1068])]"
116,frame-111.jpg,2,"[array([   4,    4, 1090, 1062]), array([ 939,  250, 1692,  773])]"
117,frame-91.jpg,4,"[array([ 415,    4, 1298, 1059]), array([ 843,    6, 1917, 1064]), array([   2,   27,  524, 1063]), array([201,   1, 599, 681])]"
118,frame-86.jpg,1,"[array([   1,   31, 1318, 1072])]"
119,frame-37.jpg,3,"[array([1065,  184, 1917, 1070]), array([   1,   20,  667, 1068]), array([ 776,  714, 1114, 1077])]"
120,frame-100.jpg,3,"[array([1232,   15, 1918, 1065]), array([   1,    2, 1059, 1066]), array([ 582,    3, 1131, 1065])]"
121,frame-145.jpg,2,"[array([ 134,    3, 1641, 1072]), array([   2,    8,  331, 1062])]"
122,frame-63.jpg,3,"[array([1166,   86, 1917, 1063]), array([   2,   80,  397, 1066]), array([ 344,  181, 1352, 1064])]"
123,frame-122.jpg,1,"[array([ 388,   30, 1383, 1074])]"
124,frame-55.jpg,2,"[array([   1,   19, 1076, 1066]), array([ 748,   75, 1779, 1068])]"
125,frame-144.jpg,2,"[array([   1,   16, 1376, 1070]), array([1542,    3, 1917, 1059])]"
126,frame-93.jpg,3,"[array([ 754,    5, 1916, 1070]), array([ 334,  136, 1110, 1070]), array([   3,    4,  574, 1065])]"
127,frame-25.jpg,5,"[array([359, 130, 733, 972]), array([1262,   90, 1634, 1068]), array([ 839,  825, 1180, 1077]), array([ 100,  729,  446, 1074]), array([   1,  910,  117, 1075])]"
128,frame-92.jpg,4,"[array([ 185,  147, 1043, 1068]), array([ 944,  350, 1335, 1074]), array([   1,  298,  215, 1066]), array([1244,   80, 1917, 1073])]"
129,frame-17.jpg,3,"[array([ 262,   57, 1236, 1066]), array([   2,  597,  300, 1068]), array([1326,  778, 1911, 1076])]"
130,frame-81.jpg,1,"[array([ 593,   73, 1244, 1047])]"
131,frame-58.jpg,2,"[array([ 898,   53, 1666, 1067]), array([ 430,  262,  967, 1070])]"
132,frame-77.jpg,3,"[array([  87,   10, 1299,  992]), array([1201,   18, 1920, 1064]), array([  0,  41, 588, 796])]"
133,frame-73.jpg,4,"[array([ 557,  454, 1288, 1070]), array([1348,  582, 1810, 1071]), array([   2,  179,  632, 1069]), array([287,  44, 689, 795])]"
134,frame-89.jpg,2,"[array([ 192,   60, 1311, 1068]), array([ 902,    8, 1916, 1065])]"
135,frame-45.jpg,2,"[array([ 156,    5, 1746, 1068]), array([1714,  299, 1918, 1054])]"
136,frame-147.jpg,1,"[array([ 466,    3, 1556, 1070])]"
137,frame-141.jpg,6,"[array([1448,    1, 1917, 1064]), array([ 444,  375,  993, 1070]), array([1208,   90, 1454,  744]), array([ 776,  134, 1042,  920]), array([ 826,  924, 1068, 1077]), array([1524,  193, 1683,  730])]"
138,frame-117.jpg,4,"[array([ 185,  244,  782, 1071]), array([ 874,  185, 1803, 1070]), array([1612,  237, 1918,  880]), array([ 832,  183, 1113,  768])]"
139,frame-115.jpg,1,"[array([  89,   14, 1346, 1066])]"
140,frame-46.jpg,3,"[array([   2,    1,  650, 1066]), array([1371,  392, 1827,  921]), array([1118,  262, 1414,  909])]"
141,frame-139.jpg,1,"[array([ 576,   51, 1590, 1067])]"
142,frame-78.jpg,2,"[array([ 254,    1, 1150, 1066]), array([ 972,  278, 1860, 1072])]"
143,frame-130.jpg,1,"[array([ 529,  266, 1118, 1054])]"
144,frame-28.jpg,4,"[array([1054,    4, 1906, 1067]), array([ 111,  476,  744, 1070]), array([ 700,  414, 1114, 1071]), array([   1,  635,  201, 1073])]"
145,frame-57.jpg,3,"[array([ 806,   27, 1352, 1072]), array([  28,  236,  931, 1066]), array([430,   2, 760, 639])]"
